State,Utility Name,EIA_table,electric ID,gas ID,EIA_Name,EIA_state,notes
New York,"Consolidated Edison Company of New York, Inc.",electric,4226,#N/A,CONSOLIDATED EDISON CO-NY INC,NY,
New York,KeySpan Energy Delivery Long Island (KEDLI),,#N/A,#N/A,,,
New York,KeySpan Energy Delivery Long Island (KEDLI) d/b/a National Grid,,#N/A,#N/A,,,
New York,KeySpan Energy Delivery New York (KEDNY),,#N/A,#N/A,,,
New York,KeySpan Energy Delivery New York (KEDNY) d/b/a National Grid,,#N/A,#N/A,,,
New York,KeySpan Gas East Corporation d/b/a National Grid,,#N/A,#N/A,,,
New York,National Fuel Gas Distribution Corporation,,#N/A,#N/A,,,
New York,National Grid USA,,#N/A,#N/A,,,
New York,New York State Electric & Gas Corporation,electric,13511,#N/A,NEW YORK STATE ELEC & GAS CORP,NY,
New York,Niagara Mohawk Power Corp,electric,13573,#N/A,NIAGARA MOHAWK POWER CORP.,NY,
New York,"Niagara Mohawk Power Corporation, d/b/a National Grid",,#N/A,#N/A,,,
New York,Orange and Rockland Utilities,,#N/A,#N/A,,,"close duplicate: Orange and Rockland Utilities, Inc."
New York,"Orange and Rockland Utilities, Inc.",electric,14154,#N/A,ORANGE & ROCKLAND UTILS INC,NY,
New York,PSEG Long Island,,#N/A,#N/A,,,possible match: electric NY LONG ISLAND POWER AUTHORITY
New York,Rochester Gas and Electric Corporation,electric,16183,#N/A,ROCHESTER GAS & ELECTRIC CORP,NY,
New York,The Brooklyn Union Gas Company,,#N/A,#N/A,,,
New York,The Brooklyn Union Gas Company d/b/a National Grid NY,,#N/A,#N/A,,,
North Carolina,Dominion Energy North Carolina,,#N/A,#N/A,,,"possible match:  electric  SC  DOMINION ENERGY SOUTH CAROLINA, INC"
North Carolina,"Duke Energy Carolinas, LLC",electric,5416,#N/A,"DUKE ENERGY CAROLINAS, LLC",NC,
North Carolina,"Duke Energy Progress, LLC",electric,3046,#N/A,DUKE ENERGY PROGRESS - (NC),NC,
North Carolina,Frontier Natural Gas,gas,#N/A,LDC3700011NC,FRONTIER ENERGY LLC,NC,
North Carolina,New River Light & Power Company,electric,13482,#N/A,NEW RIVER LIGHT & POWER CO,NC,
North Carolina,"Piedmont Natural Gas Company, Inc",gas,#N/A,LDC470041NC,PIEDMONT NATURAL GAS,NC,multiple
North Carolina,Toccoa Natural Gas,gas,#N/A,LDC3700010GA,TOCCOA NATURAL GAS,GA`,multiple
North Dakota,Great Plains Natural Gas Co.,gas,#N/A,LDC270021MN,GREAT PLAINS NATURAL GAS,MN,multiple
North Dakota,Montana-Dakota Utilities Company,electric,12199,#N/A,MONTANA-DAKOTA UTILITIES CO,NC,
North Dakota,Northern States Power Company,electric,13780,LDC270011MN,NORTHERN STATES POWER CO,MN,multiple possible in gas and electric
North Dakota,Otter Tail Power Company,electric,14232,#N/A,OTTER TAIL POWER CO,MN,
North Dakota,Xcel Energy,,#N/A,#N/A,,,possible match:  multiple gas MN  NORTHERN STATES POWER COMPANY (XCEL ENERGY)
Ohio,AES Ohio,,#N/A,#N/A,,,
Ohio,Arlington Natural Gas Company,gas,#N/A,LDC390004OH,ARLINGTON NATURAL GAS CO.,OH,
Ohio,Brainard Gas Company,gas,#N/A,LDC390032OH,BRAINARD GAS CORPORATION,OH,
Ohio,Choice Energy LLC,,#N/A,#N/A,,,
Ohio,Columbia Gas of Ohio,gas,#N/A,LDC390020OH,COLUMBIA GAS OF OHIO,,
Ohio,Dayton Power and Light Company,electric,4922,#N/A,DAYTON POWER & LIGHT CO,OH,
Ohio,Dominion Energy Ohio,gas,#N/A,LDC390027OH,EAST OHIO GAS CO/DOMINION,OH,
Ohio,Duke Energy Ohio,electric,3542,#N/A,DUKE ENERGY OHIO INC,OH,
Ohio,Eastern Natural Gas Company,gas,#N/A,LDC390005OH,EASTERN NATURAL GAS,OH,
Ohio,"Foraker Gas Company, Inc",gas,#N/A,LDC390025OH,FORAKER GAS COMPANY,OH,
Ohio,Generation Pipeline LLC,,#N/A,#N/A,,,
Ohio,"Glenwood Energy of Oxford, Inc.",gas,#N/A,LDC390024OH,GLENWOOD ENERGY OF OXFORD INC.,OH,
Ohio,KNG Energy,gas,#N/A,LDC390034OH,KNG ENERGY INC.,OH,
Ohio,Northeast Ohio Natural Gas,gas,#N/A,LDC390033OH,NORTHEAST OHIO NATURAL GAS,OH,
Ohio,Ohio Cumberland Gas Company,gas,#N/A,LDC390011OH,OHIO CUMBERLAND GAS CO,OH,
Ohio,Ohio Edison Company,electric,13998,#N/A,OHIO EDISON CO,OH,
Ohio,Ohio Gas Company,gas,#N/A,LDC390012OH,OHIO GAS CO,OH,
Ohio,Ohio Power Company,electric,14006,#N/A,OHIO POWER CO,OH,
Ohio,Ohio Valley Gas Corporation,gas,#N/A,LDC180017IN,OHIO VALLEY GAS CORP.,IN,multiple
Ohio,Orwell Natural Gas,gas,#N/A,LDC420020OH,ORWELL NATURAL GAS,OH,multiple
Ohio,Piedmont Gas Company,gas,#N/A,LDC390028OH,PIEDMONT GAS COMPANY,OH,
Ohio,Pike Natural Gas Company,gas,#N/A,LDC390021OH,PIKE NATURAL GAS,OH,
Ohio,Sheldon Gas Company,gas,#N/A,LDC390014OH,SHELDON GAS COMPANY,OH,
Ohio,Southeastern Natural Gas Company,gas,#N/A,LDC390015OH,SOUTHEASTERN NATURAL GAS CO,OH,
Ohio,Suburban Natural Gas Company,gas,#N/A,LDC390022OH,SUBURBAN NATURAL GAS COMPANY,OH,
Ohio,The Cleveland Electric Illuminating Company,electric,3755,#N/A,CLEVELAND ELECTRIC ILLUM CO,OH,
Ohio,The Dayton Power and Light Company,,#N/A,#N/A,,,close duplicate:  Dayton Power and Light Company
Ohio,The Illuminating Company,,#N/A,#N/A,,,possible match:  electrical CT UNITED ILLUMINATING CO
Ohio,The Swickard Gas Company,gas,#N/A,LDC390026OH,THE SWICKARD GAS CO,OH,
Ohio,The Toledo Edison Company,electric,18997,#N/A,THE TOLEDO EDISON CO,OH,
Ohio,The Waterville Gas & Oil Company,gas,#N/A,LDC390017OH,WATERVILLE GAS & OIL,OH,possible match:  gas OH WATERVILLE GAS COMPANY
Ohio,"Vectren Energy Delivery of Ohio, Inc",gas,#N/A,LDC390031OH,VECTREN ENERGY DELIVERY OF OHIO,OH,
Ohio,"Vectren Energy Delivery of Ohio, Inc.",,#N/A,#N/A,,,"close duplicate: Vectren Energy Delivery of Ohio, Inc"
Oregon,Avista Corporation,,#N/A,#N/A,,,multiple possible in gas and electric: WA AVISTA CORP
Oregon,Avista Utilities,,#N/A,#N/A,,,multiple possible in gas and electric: WA AVISTA CORP
Oregon,Casade Natural Gas Corporation,,#N/A,#N/A,,,
Oregon,Cascade Natural Gas Corporation,gas,#N/A,LDC530002WA,CASCADE NATURAL GAS,WA,multiple
Oregon,Idaho Power Company,electric,9191,#N/A,IDAHO POWER CO,ID,
Oregon,NW Natural,,#N/A,#N/A,,,close duplicate:  Northwest Natural Gas Company
Oregon,Northwest Natural Gas Company,gas,#N/A,LDC400002OR,NORTHWEST NATURAL GAS CO.,OR,
Oregon,Pacific Power,,#N/A,#N/A,,,
Oregon,Portland General Electric,,#N/A,#N/A,,,close duplicate:  Portland General Electric Company
Oregon,Portland General Electric Company,electric,15248,#N/A,PORTLAND GENERAL ELECTRIC CO,OR,
Pennsylvania,Columbia Gas of Pennsylvania,gas,#N/A,LDC420021PA,COLUMBIA GAS OF PENNSYLVANIA,PA,
Pennsylvania,Duquesne Light Co,electric,5487,#N/A,DUQUESNE LIGHT CO,PA,
Pennsylvania,Metropolitan Edison Company,electric,12390,#N/A,METROPOLITAN EDISON CO,OH,
Pennsylvania,National Fuel Gas Distribution Corporation,gas,#N/A,LDC420010NY,NATIONAL FUEL GAS DISTRIBUTION,NY,multiple
Pennsylvania,PECO Energy Co,electric,14940,LDC420011PA,PECO ENERGY CO,PA,
Pennsylvania,PPL Electric Utilities Corporation,electric,14715,#N/A,PPL ELECTRIC UTILITIES CORP,PA,
Pennsylvania,Pennsylvania Electric Company,electric,14711,#N/A,PENNSYLVANIA ELECTRIC CO,OH,
Pennsylvania,Pennsylvania Power Company,electric,14716,#N/A,PENNSYLVANIA POWER CO,OH,
Pennsylvania,Peoples Gas Company LLC,,#N/A,#N/A,,,close duplicate:  Peoples Natural Gas Company
Pennsylvania,Peoples Natural Gas Company,gas,#N/A,LDC420001PA,PEOPLES NATURAL GAS CO.,PA,
Pennsylvania,Philidelphia Gas Works,gas,#N/A,LDC420012PA,PHILADELPHIA GAS WORKS,PA,
Pennsylvania,"UGI Utilities, Inc",electric,19390,#N/A,"UGI UTILITIES, INC",PA,
Pennsylvania,West Penn Power Company,electric,20387,#N/A,WEST PENN POWER COMPANY,PA,
Rhode Island,National Grid - RI Electric Division,,#N/A,#N/A,,,
Rhode Island,National Grid - RI Gas Division,,#N/A,#N/A,,,
Rhode Island,The Narragansett Electric Company,electric,13214,#N/A,THE NARRAGANSETT ELECTRIC CO,RI,
South Carolina,Dominion Energy,,#N/A,#N/A,,,close duplicate:  Dominion Energy of South Carolina
South Carolina,Dominion Energy South Carolina,electric,17539,#N/A,"DOMINION ENERGY SOUTH CAROLINA, INC",SC,
South Carolina,"Duke Energy Carolinas, LLC",electric,5416,#N/A,"DUKE ENERGY CAROLINAS, LLC",NC,
South Carolina,Duke Energy Progress,electric,3046,#N/A,DUKE ENERGY PROGRESS - (NC),NC,
South Carolina,"Duke Energy Progress, LLC",,#N/A,#N/A,,,close duplicate:  Duke Energy Progress
South Carolina,Duke Power,,#N/A,#N/A,,,"mutliple possibles:  electric ""Duke"""
South Carolina,Lockhart Power Co,,#N/A,#N/A,,,close duplicate: Lockhart Power Company
South Carolina,Lockhart Power Company,electric,11118,#N/A,LOCKHART POWER CO,SC,
South Carolina,Piedmont Natural Gas,gas,#N/A,LDC470041NC,PIEDMONT NATURAL GAS,NC,multiple
South Carolina,"Piedmont Natural Gas Company, Inc",,#N/A,#N/A,,,close duplicate: Piedmont Natural Gas
South Carolina,South Carolina Electric & Gas Company,gas,#N/A,LDC450009SC,SOUTH CAROLINA ELECTRIC & GAS,SC,
South Dakota,MidAmerican Energy Company,electric,12341,#N/A,MIDAMERICAN ENERGY CO,IA,
South Dakota,Montana-Dakota Utilities Company,electric,12199,#N/A,MONTANA-DAKOTA UTILITIES CO,ND,
South Dakota,Northern States Power Company,electric,13780,LDC270011MN,NORTHERN STATES POWER CO,MD,
South Dakota,Northwestern Energy,electric,13809,#N/A,NORTHWESTERN ENERGY - (SD),SD,
South Dakota,Otter Tail Power Company,electric,14232,#N/A,OTTER TAIL POWER CO,MN,
Utah,Rocky Mountain Power,,#N/A,#N/A,,,
Vermont,"Barton Village, Inc",electric,1299,#N/A,"BARTON VILLAGE, INC",VT,
Vermont,Burlington Electric,electric,2548,#N/A,CITY OF BURLINGTON ELECTRIC - (VT),VT,
Vermont,Green Mountain Power,electric,7601,#N/A,GREEN MOUNTAIN POWER CORP,VT,
Vermont,Hyde Park Electric,electric,19791,#N/A,"VERMONT ELECTRIC COOPERATIVE, INC",VT,
Vermont,Northfield Electric Department,electric,5915,#N/A,VILLAGE OF ENOSBURG FALLS - (VT),VT,
Vermont,Swanton Village,electric,9144,#N/A,VILLAGE OF HYDE PARK - (VT),VT,
Vermont,Vermont Electric Cooperative,electric,9806,#N/A,VILLAGE OF JOHNSON - (VT),VT,
Vermont,Village of Enosburg Falls Water & Lighter Dept Inc,electric,12989,#N/A,VILLAGE OF MORRISVILLE - (VT),VT,
Vermont,Village of Johnson Water & Light,electric,13789,#N/A,VILLAGE OF NORTHFIELD - (VT),VT,
Vermont,Village of Morrisville Water & Light Department,electric,18371,#N/A,VILLAGE OF SWANTON - (VT),VT,
Vermont,Washington Electric Cooperative,electric,20151,#N/A,WASHINGTON ELECTRIC COOP - (VT),VT,
Washington,Avista Utilities,electric,20169,LDC530007WA,AVISTA CORP,WA,
Washington,Cascade Natural Gas Corp,gas,#N/A,LDC530002WA,CASCADE NATURAL GAS,WA,multiple
Washington,Northwest Natural Gas Company,,#N/A,#N/A,,,possible match:  electric CA PACIFIC GAS & ELECTRIC CO.
Washington,Pacific Power & Light Company,,#N/A,#N/A,,,
Washington,Puget Sound Energy,electric,15500,#N/A,PUGET SOUND ENERGY INC,WA,
"Washington, D.C.",Potomac Electric Power Company,electric,15270,#N/A,POTOMAC ELECTRIC POWER CO,DC,
"Washington, D.C.",Washington Gas Light Company,,#N/A,#N/A,,,
