state,utility_clean_names,service_type,utility_type,year,month,number_of_customers_total,number_of_disconnections,number_of_reconnections,disconnection_rate,reconnection_rate,State,Utility Name,Year,Month,Total Disconnections,Total Connections,Disconnection Rate
Alabama,City of Dothan,Electric,Muni,2016,February,25421,924,488,0.0363479013414106,0.0191967271153771,Alabama,City of Dothan,2016,February,924,25421,0.0363479013414106
Alabama,City of Dothan,Electric,Muni,2016,March,25563,1310,740,0.0512459413996792,0.0289480890349333,Alabama,City of Dothan,2016,March,1310,25563,0.0512459413996792
Alabama,City of Dothan,Electric,Muni,2016,April,25529,1074,607,0.0420698029691723,0.0237768811939363,Alabama,City of Dothan,2016,April,1074,25529,0.0420698029691723
Alabama,City of Dothan,Electric,Muni,2016,May,25491,596,294,0.0233808010670433,0.0115334824055549,Alabama,City of Dothan,2016,May,596,25491,0.0233808010670433
Alabama,City of Dothan,Electric,Muni,2016,June,25649,886,460,0.0345432570470584,0.0179344223946353,Alabama,City of Dothan,2016,June,886,25649,0.0345432570470584
Alabama,City of Dothan,Electric,Muni,2016,July,25627,1081,615,0.0421820735942561,0.0239981269754556,Alabama,City of Dothan,2016,July,1081,25627,0.0421820735942561
Alabama,City of Dothan,Electric,Muni,2016,August,25623,1064,566,0.0415251922101237,0.022089528938844,Alabama,City of Dothan,2016,August,1064,25623,0.0415251922101237
Alabama,City of Dothan,Electric,Muni,2016,September,25773,1248,685,0.0484227680130369,0.0265782019943352,Alabama,City of Dothan,2016,September,1248,25773,0.0484227680130369
Alabama,City of Dothan,Electric,Muni,2016,October,25511,2043,1056,0.0800831014072361,0.0413939085100545,Alabama,City of Dothan,2016,October,2043,25511,0.0800831014072361
Alabama,City of Dothan,Electric,Muni,2016,November,25380,1984,1115,0.0781717888100867,0.0439322301024429,Alabama,City of Dothan,2016,November,1984,25380,0.0781717888100867
Alabama,City of Dothan,Electric,Muni,2016,December,25655,1357,776,0.0528941726758916,0.0302475151042682,Alabama,City of Dothan,2016,December,1357,25655,0.0528941726758916
Alabama,City of Dothan,Electric,Muni,2017,January,25554,1612,894,0.0630821006496048,0.0349847382014557,Alabama,City of Dothan,2017,January,1612,25554,0.0630821006496048
Alabama,City of Dothan,Electric,Muni,2017,February,25561,1816,1102,0.0710457337349869,0.0431125542819139,Alabama,City of Dothan,2017,February,1816,25561,0.0710457337349869
Alabama,City of Dothan,Electric,Muni,2017,March,25820,1453,844,0.056274206041828,0.0326878388845856,Alabama,City of Dothan,2017,March,1453,25820,0.056274206041828
Alabama,City of Dothan,Electric,Muni,2017,April,25576,1144,675,0.044729433844229,0.0263919299343134,Alabama,City of Dothan,2017,April,1144,25576,0.044729433844229
Alabama,City of Dothan,Electric,Muni,2017,May,25644,1127,558,0.043947902043363,0.0217594759007955,Alabama,City of Dothan,2017,May,1127,25644,0.043947902043363
