State,Utility Name,Utility Type,Service Type,Year,Month,Total Disconnections,Total Reconnections,Total Connections,Disconnection Rate
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2021,September,0,,1177343,0
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2021,October,0,,1177343,0
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2021,November,625,,1177343,0.000530856
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2021,December,4598,,1177343,0.003905404
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2022,January,4855,,1202975,0.004035828
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2022,February,3488,,1202975,0.002899478
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2022,March,5717,,1202975,0.004752385
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2022,April,2316,,1202975,0.001925227
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2022,May,,,1202975,
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2022,June,,,1202975,
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2022,July,,,1202975,
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2022,August,,,1202975,
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2022,September,,,1202975,
Arizona,Arizona Public Service Company,Investor Owned Utility,Electric,2022,October,,,1202975,
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2020,January,,,2305,
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2020,February,,,2305,
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2020,March,,,2305,
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2020,April,,,2305,
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2020,May,,,2305,
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2020,June,,,2305,
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2020,July,,,2305,
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2020,August,,,2305,
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2020,September,,,2305,
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2020,October,,,2305,
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2020,November,,,2305,
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2020,December,,,2305,
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2021,January,2,,2305,0.000867679
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2021,February,4,,2305,0.001735358
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2021,March,2,,2305,0.000867679
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2021,April,3,,2305,0.001301518
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2021,May,0,,2305,0
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2021,June,0,,2305,0
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2021,July,0,,2305,0
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2021,August,0,,2305,0
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2021,September,0,,2305,0
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2021,October,7,,2305,0.003036876
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2021,November,4,,2305,0.001735358
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2021,December,3,,2305,0.001301518
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2022,January,4,,2305,0.001735358
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2022,February,4,,2305,0.001735358
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2022,March,5,,2305,0.002169197
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2022,April,,,2305,
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2022,May,,,2305,
