"","State","Utility Name","Year","Month","Total Connections","Total Disconnections","Disconnection Rate"
"164","CA","SoCalGas",2021,"April",0,5662760,0
"165","CA","SoCalGas",2021,"August",0,5673589,0
"166","CA","SoCalGas",2021,"December",0,5686018,0
"167","CA","SoCalGas",2021,"February",0,5658064,0
"168","CA","SoCalGas",2021,"January",0,5655196,0
"169","CA","SoCalGas",2021,"July",0,5670862,0
"170","CA","SoCalGas",2021,"June",0,5666942,0
"171","CA","SoCalGas",2021,"March",0,5660886,0
"172","CA","SoCalGas",2021,"May",0,5665165,0
"173","CA","SoCalGas",2021,"November",0,5682804,0
"174","CA","SoCalGas",2021,"October",0,5681875,0
"175","CA","SoCalGas",2021,"September",0,5676195,0
"176","CA","SoCalGas",2022,"April",0,5703333,0
"177","CA","SoCalGas",2022,"February",0,5696812,0
"178","CA","SoCalGas",2022,"January",0,5691100,0
"179","CA","SoCalGas",2022,"March",0,5700789,0
"180","CA","SoCalGas",2022,"May",0,5706427,0
"181","IA","amana_electric_only",2013,"December",0,708,0
"182","IA","amana_electric_only",2013,"November",0,708,0
"183","IA","amana_electric_only",2013,"October",0,708,0
"184","IA","amana_electric_only",2014,"April",0,708,0
"185","IA","amana_electric_only",2014,"August",0,710,0
"186","IA","amana_electric_only",2014,"December",NA,NA,NA
"187","IA","amana_electric_only",2014,"February",0,708,0
"188","IA","amana_electric_only",2014,"January",0,708,0
"189","IA","amana_electric_only",2014,"July",0,709,0
"190","IA","amana_electric_only",2014,"June",0,708,0
"191","IA","amana_electric_only",2014,"March",0,708,0
"192","IA","amana_electric_only",2014,"May",0,708,0
"193","IA","amana_electric_only",2014,"November",NA,NA,NA
"194","IA","amana_electric_only",2014,"October",NA,NA,NA
"195","IA","amana_electric_only",2014,"September",1,710,0.140845070422535
"196","IA","amana_electric_only",2015,"April",NA,NA,NA
"197","IA","amana_electric_only",2015,"August",NA,NA,NA
"198","IA","amana_electric_only",2015,"February",NA,NA,NA
"199","IA","amana_electric_only",2015,"January",NA,NA,NA
"200","IA","amana_electric_only",2015,"July",NA,NA,NA
"201","IA","amana_electric_only",2015,"June",NA,NA,NA
"202","IA","amana_electric_only",2015,"March",NA,NA,NA
"203","IA","amana_electric_only",2015,"May",NA,NA,NA
"204","IA","amana_electric_only",2015,"September",NA,NA,NA
"205","IA","black_hills_energy_f_k_a_aquila_gas_only",2013,"December",33,137525,0.0239956371568806
"206","IA","black_hills_energy_f_k_a_aquila_gas_only",2013,"November",95,136510,0.069591971284155
"207","IA","black_hills_energy_f_k_a_aquila_gas_only",2013,"October",267,135416,0.197170201453299
"208","IA","black_hills_energy_f_k_a_aquila_gas_only",2014,"April",839,138192,0.607126317008221
"209","IA","black_hills_energy_f_k_a_aquila_gas_only",2014,"August",493,135819,0.36298308778595
"210","IA","black_hills_energy_f_k_a_aquila_gas_only",2014,"December",54,138503,0.0389883251626319
"211","IA","black_hills_energy_f_k_a_aquila_gas_only",2014,"February",125,137807,0.0907065678811671
"212","IA","black_hills_energy_f_k_a_aquila_gas_only",2014,"January",73,137777,0.0529841700719278
"213","IA","black_hills_energy_f_k_a_aquila_gas_only",2014,"July",872,136313,0.639704210163374
"214","IA","black_hills_energy_f_k_a_aquila_gas_only",2014,"June",998,136954,0.728711830249573
"215","IA","black_hills_energy_f_k_a_aquila_gas_only",2014,"March",85,138032,0.0615799234960009
"216","IA","black_hills_energy_f_k_a_aquila_gas_only",2014,"May",795,137524,0.578080916785434
"217","IA","black_hills_energy_f_k_a_aquila_gas_only",2014,"November",84,137122,0.0612593165210542
"218","IA","black_hills_energy_f_k_a_aquila_gas_only",2014,"October",797,136154,0.585366570207265
"219","IA","black_hills_energy_f_k_a_aquila_gas_only",2014,"September",858,135726,0.632155961274921
"220","IA","black_hills_energy_f_k_a_aquila_gas_only",2015,"April",1641,138674,1.18335088048228
"221","IA","black_hills_energy_f_k_a_aquila_gas_only",2015,"August",526,136756,0.384626634297581
"222","IA","black_hills_energy_f_k_a_aquila_gas_only",2015,"December",54,139205,0.0387917100678855
"223","IA","black_hills_energy_f_k_a_aquila_gas_only",2015,"February",93,138525,0.0671358960476448
"224","IA","black_hills_energy_f_k_a_aquila_gas_only",2015,"January",241,138354,0.174190843777556
"225","IA","black_hills_energy_f_k_a_aquila_gas_only",2015,"July",677,137040,0.494016345592528
"226","IA","black_hills_energy_f_k_a_aquila_gas_only",2015,"June",830,137640,0.603022377215926
"227","IA","black_hills_energy_f_k_a_aquila_gas_only",2015,"March",456,138851,0.328409590136189
"228","IA","black_hills_energy_f_k_a_aquila_gas_only",2015,"May",1120,137949,0.811894250773837
"229","IA","black_hills_energy_f_k_a_aquila_gas_only",2015,"November",83,137792,0.0602357176033442
"230","IA","black_hills_energy_f_k_a_aquila_gas_only",2015,"October",420,136960,0.306658878504673
"231","IA","black_hills_energy_f_k_a_aquila_gas_only",2015,"September",539,136814,0.393965529843437
"232","IA","black_hills_energy_f_k_a_aquila_gas_only",2016,"April",659,139735,0.471606970336709
"233","IA","black_hills_energy_f_k_a_aquila_gas_only",2016,"August",531,138168,0.3843147472642
"234","IA","black_hills_energy_f_k_a_aquila_gas_only",2016,"December",20,140007,0.0142850000357125
"235","IA","black_hills_energy_f_k_a_aquila_gas_only",2016,"February",247,139364,0.177233718894406
"236","IA","black_hills_energy_f_k_a_aquila_gas_only",2016,"January",69,139136,0.0495917663293468
"237","IA","black_hills_energy_f_k_a_aquila_gas_only",2016,"July",494,138371,0.35701122345
"238","IA","black_hills_energy_f_k_a_aquila_gas_only",2016,"June",853,138969,0.613805956724161
"239","IA","black_hills_energy_f_k_a_aquila_gas_only",2016,"March",404,139697,0.289197334230513
"240","IA","black_hills_energy_f_k_a_aquila_gas_only",2016,"May",896,139265,0.643377733098769
"241","IA","black_hills_energy_f_k_a_aquila_gas_only",2016,"November",156,138911,0.112302121502257
"242","IA","black_hills_energy_f_k_a_aquila_gas_only",2016,"October",230,138047,0.166609922707484
"243","IA","black_hills_energy_f_k_a_aquila_gas_only",2016,"September",378,137984,0.273944805194805
"244","IA","black_hills_energy_f_k_a_aquila_gas_only",2017,"April",631,140520,0.449046399089098
"245","IA","black_hills_energy_f_k_a_aquila_gas_only",2017,"August",644,139218,0.462583861282305
"246","IA","black_hills_energy_f_k_a_aquila_gas_only",2017,"December",23,141276,0.0162801891333277
"247","IA","black_hills_energy_f_k_a_aquila_gas_only",2017,"February",114,140423,0.0811832819409926
"248","IA","black_hills_energy_f_k_a_aquila_gas_only",2017,"January",114,140423,0.0811832819409926
"249","IA","black_hills_energy_f_k_a_aquila_gas_only",2017,"July",467,139411,0.334980740400686
"250","IA","black_hills_energy_f_k_a_aquila_gas_only",2017,"June",869,140049,0.620497111725182
"251","IA","black_hills_energy_f_k_a_aquila_gas_only",2017,"March",279,140919,0.197986077108126
"252","IA","black_hills_energy_f_k_a_aquila_gas_only",2017,"May",1002,140400,0.713675213675214
