State,Month,Year,Total Disconnections,Total Connections,Disconnection Rate
Massachusetts,March,2020,935.0,1200000.0,0.009349999999999999
Massachusetts,March,2021,0.0,1200000.0,0.0
Massachusetts,May,2020,0.0,1200000.0,0.0
Massachusetts,May,2021,0.0,1200000.0,0.0
Massachusetts,November,2020,0.0,1200000.0,0.0
Massachusetts,November,2021,3242.0,1200000.0,0.03242
Massachusetts,October,2020,0.0,1200000.0,0.0
Massachusetts,October,2021,6436.0,1200000.0,0.06436
Massachusetts,September,2020,0.0,1200000.0,0.0
Massachusetts,September,2021,8613.0,1200000.0,0.08613
Massachussetts,April,2019,6211.0,3150607.0,1.778198873466876
Massachussetts,April,2020,0.0,3197001.0,0.0
Massachussetts,April,2021,108.0,2883194.0,0.03582425781280729
Massachussetts,April,2022,2174.0,2897836.0,0.7293077672572148
Massachussetts,August,2019,7935.0,3148697.0,2.3964046423069796
Massachussetts,August,2020,0.0,3194031.0,0.0
Massachussetts,August,2021,4600.0,2877847.0,1.2781362979436952
Massachussetts,August,2022,3023.0,2325132.0,0.5542301206838911
Massachussetts,December,2019,448.0,3185888.0,0.1910400118830027
Massachussetts,December,2020,40.0,2877318.0,0.0095279914581502
Massachussetts,December,2021,602.0,2889207.0,0.21070541252916242
Massachussetts,February,2020,1188.0,3192252.0,0.4392951882362866
Massachussetts,February,2021,67.0,2883339.0,0.0198989579572332
Massachussetts,February,2022,559.0,2895109.0,0.2668758702731822
Massachussetts,January,2020,1066.0,3188509.0,0.41179536409002193
Massachussetts,January,2021,90.0,2880969.0,0.0268933546689801
Massachussetts,January,2022,486.0,2893258.0,0.2512211401313092
Massachussetts,July,2019,6821.0,3150104.0,2.4708875596973012
Massachussetts,July,2020,0.0,3195160.0,0.0
Massachussetts,July,2021,2491.0,2878323.0,0.49608872650832203
Massachussetts,July,2022,5434.0,2911340.0,1.3246406468235987
Massachussetts,June,2019,6838.0,3150205.0,2.0617974160710713
Massachussetts,June,2020,0.0,3197170.0,0.0
Massachussetts,June,2021,109.0,2881137.0,0.046623275249077
Massachussetts,June,2022,3925.0,2903080.0,1.2189364710342443
Massachussetts,March,2019,1317.0,3151343.0,0.4528216243467421
Massachussetts,March,2020,620.0,3194817.0,0.228044951662295
Massachussetts,March,2021,67.0,2883490.0,0.0240173871058223
Massachussetts,March,2022,769.0,2895079.0,0.2866529950551155
Massachussetts,May,2019,8593.0,3149750.0,2.9708091899667157
Massachussetts,May,2020,0.0,3197106.0,0.0
Massachussetts,May,2021,90.0,2882223.0,0.0361038562281178
Massachussetts,May,2022,4648.0,2901792.0,1.2582797548504983
Massachussetts,November,2019,1207.0,3177961.0,0.3769198607118264
Massachussetts,November,2020,64.0,2873924.0,0.0184125668798625
Massachussetts,November,2021,2398.0,2883637.0,0.5547440630807016
Massachussetts,October,2019,5563.0,3165264.0,1.7180938512270276
Massachussetts,October,2020,30.0,2868965.0,0.0070578024465787
Massachussetts,October,2021,4671.0,2877422.0,1.2897821696327183
Massachussetts,September,2019,9920.0,3155738.0,2.8814344412387056
Massachussetts,September,2020,10.0,3191297.0,0.0247555390518629
Massachussetts,September,2021,5626.0,2872640.0,1.6791619579277348
Michigan,April,2020,5752.0,500000.0,0.057519999999999995
Michigan,April,2021,12492.0,500000.0,0.12492
Michigan,August,2020,4396.0,500000.0,0.04396
Michigan,August,2021,20531.0,500000.0,0.20531
Michigan,December,2020,4395.0,500000.0,0.04395
Michigan,December,2021,16267.0,500000.0,0.16267
Michigan,February,2021,7304.0,500000.0,0.07304
Michigan,January,2021,5911.0,500000.0,0.059109999999999996
Michigan,July,2020,4067.0,500000.0,0.04067
Michigan,July,2021,19027.0,500000.0,0.19027
Michigan,June,2020,4116.0,500000.0,0.04116
Michigan,June,2021,18474.0,500000.0,0.18474
