"","State","Utility Name","Year","Month","Total Connections","Total Disconnections","Disconnection Rate","cbd"
"463","IA","black_hills_energy_f_k_a_aquila_gas_only",2017,"June",869,140049,0.620497111725182,NA
"464","IA","black_hills_energy_f_k_a_aquila_gas_only",2017,"March",279,140919,0.197986077108126,NA
"465","IA","black_hills_energy_f_k_a_aquila_gas_only",2017,"May",1002,140400,0.713675213675214,NA
"466","IA","black_hills_energy_f_k_a_aquila_gas_only",2017,"November",153,140355,0.109009297851876,NA
"467","IA","black_hills_energy_f_k_a_aquila_gas_only",2017,"October",354,139152,0.254398068299414,NA
"468","IA","black_hills_energy_f_k_a_aquila_gas_only",2017,"September",355,138927,0.255529882600214,NA
"469","IA","black_hills_energy_f_k_a_aquila_gas_only",2018,"April",383,141852,0.26999971801596,NA
"470","IA","black_hills_energy_f_k_a_aquila_gas_only",2018,"August",546,140056,0.38984406237505,NA
"471","IA","black_hills_energy_f_k_a_aquila_gas_only",2018,"December",214,142283,0.150404475587386,NA
"472","IA","black_hills_energy_f_k_a_aquila_gas_only",2018,"February",0,141694,0,NA
"473","IA","black_hills_energy_f_k_a_aquila_gas_only",2018,"January",12,141568,0.00847649186256781,NA
"474","IA","black_hills_energy_f_k_a_aquila_gas_only",2018,"July",705,140450,0.501957992168031,NA
"475","IA","black_hills_energy_f_k_a_aquila_gas_only",2018,"June",715,140822,0.507733166692704,NA
"476","IA","black_hills_energy_f_k_a_aquila_gas_only",2018,"March",338,141922,0.238158988740294,NA
"477","IA","black_hills_energy_f_k_a_aquila_gas_only",2018,"May",1489,141671,1.05102667447819,NA
"478","IA","black_hills_energy_f_k_a_aquila_gas_only",2018,"November",235,141427,0.16616346242231,NA
"479","IA","black_hills_energy_f_k_a_aquila_gas_only",2018,"October",234,140426,0.16663580818367,NA
"480","IA","black_hills_energy_f_k_a_aquila_gas_only",2018,"September",414,139722,0.29630265813544,NA
"481","IA","black_hills_energy_f_k_a_aquila_gas_only",2019,"April",795,142575,0.557601262493424,NA
"482","IA","black_hills_energy_f_k_a_aquila_gas_only",2019,"August",540,140931,0.383166230282904,NA
"483","IA","black_hills_energy_f_k_a_aquila_gas_only",2019,"December",33,143380,0.0230157623099456,NA
"484","IA","black_hills_energy_f_k_a_aquila_gas_only",2019,"February",280,142470,0.196532603355092,NA
"485","IA","black_hills_energy_f_k_a_aquila_gas_only",2019,"January",320,142446,0.224646532721172,NA
"486","IA","black_hills_energy_f_k_a_aquila_gas_only",2019,"July",807,141289,0.571169730127611,NA
"487","IA","black_hills_energy_f_k_a_aquila_gas_only",2019,"June",790,141837,0.556977375438003,NA
"488","IA","black_hills_energy_f_k_a_aquila_gas_only",2019,"March",110,142754,0.0770556341678692,NA
"489","IA","black_hills_energy_f_k_a_aquila_gas_only",2019,"May",804,142122,0.565711149575717,NA
"490","IA","black_hills_energy_f_k_a_aquila_gas_only",2019,"November",59,142389,0.0414357850676667,NA
"491","IA","black_hills_energy_f_k_a_aquila_gas_only",2019,"October",340,141174,0.240837547990423,NA
"492","IA","black_hills_energy_f_k_a_aquila_gas_only",2019,"September",399,140671,0.283640551357423,NA
"493","IA","black_hills_energy_f_k_a_aquila_gas_only",2020,"April",0,143562,0,NA
"494","IA","black_hills_energy_f_k_a_aquila_gas_only",2020,"August",0,142534,0,NA
"495","IA","black_hills_energy_f_k_a_aquila_gas_only",2020,"February",80,143690,0.0556754123460227,NA
"496","IA","black_hills_energy_f_k_a_aquila_gas_only",2020,"January",55,143461,0.0383379455043531,NA
"497","IA","black_hills_energy_f_k_a_aquila_gas_only",2020,"July",0,142597,0,NA
"498","IA","black_hills_energy_f_k_a_aquila_gas_only",2020,"June",0,142573,0,NA
"499","IA","black_hills_energy_f_k_a_aquila_gas_only",2020,"March",35,143856,0.0243298854409966,NA
"500","IA","black_hills_energy_f_k_a_aquila_gas_only",2020,"May",0,142641,0,NA
"501","IA","black_hills_energy_f_k_a_aquila_gas_only",2020,"November",1590,143512,1.10792128881209,NA
"502","IA","black_hills_energy_f_k_a_aquila_gas_only",2020,"September",196,142633,0.137415605084377,NA
"503","IA","black_hills_energy_f_k_a_aquila_gas_only",2021,"April",138,144311,0.095626805995385,NA
"504","IA","black_hills_energy_f_k_a_aquila_gas_only",2021,"August",382,143133,0.266884645749059,NA
"505","IA","black_hills_energy_f_k_a_aquila_gas_only",2021,"December",7,144599,0.0048409740039696,NA
"506","IA","black_hills_energy_f_k_a_aquila_gas_only",2021,"February",31,144137,0.0215073159563471,NA
"507","IA","black_hills_energy_f_k_a_aquila_gas_only",2021,"January",31,144097,0.0215132861891642,NA
"508","IA","black_hills_energy_f_k_a_aquila_gas_only",2021,"July",380,143566,0.264686624966914,NA
"509","IA","black_hills_energy_f_k_a_aquila_gas_only",2021,"June",416,143596,0.289701662998969,NA
"510","IA","black_hills_energy_f_k_a_aquila_gas_only",2021,"May",289,144220,0.200388295659409,NA
"511","IA","black_hills_energy_f_k_a_aquila_gas_only",2021,"November",191,143765,0.132855702013703,NA
