State,Month,Year,Number of Disconnections,Total Connections,Disconnection Rate,code
Maryland,November,2020,116,800000,0.00116,MD
Maryland,November,2021,5159,800000,0.05159,MD
Maryland,October,2020,189,800000,0.00189,MD
Maryland,October,2021,6826,800000,0.06826,MD
Maryland,September,2020,0,900000,0.00000,MD
Maryland,September,2021,5754,800000,0.05754,MD
Massachusetts,April,2020,0,1200000,0.00000,MA
Massachusetts,April,2021,0,1200000,0.00000,MA
Massachusetts,August,2020,0,1200000,0.00000,MA
Massachusetts,August,2021,6408,1200000,0.06408,MA
Massachusetts,December,2020,0,1200000,0.00000,MA
Massachusetts,December,2021,926,1200000,0.00926,MA
Massachusetts,February,2020,1943,1200000,0.01943,MA
Massachusetts,February,2021,0,1200000,0.00000,MA
Massachusetts,January,2020,1791,1200000,0.01791,MA
Massachusetts,January,2021,0,1200000,0.00000,MA
Massachusetts,July,2020,0,1200000,0.00000,MA
Massachusetts,July,2021,3572,1200000,0.03572,MA
Massachusetts,June,2020,0,1200000,0.00000,MA
Massachusetts,June,2021,0,1200000,0.00000,MA
Massachusetts,March,2020,935,1200000,0.00935,MA
Massachusetts,March,2021,0,1200000,0.00000,MA
Massachusetts,May,2020,0,1200000,0.00000,MA
Massachusetts,May,2021,0,1200000,0.00000,MA
Massachusetts,November,2020,0,1200000,0.00000,MA
Massachusetts,November,2021,3242,1200000,0.03242,MA
Massachusetts,October,2020,0,1200000,0.00000,MA
Massachusetts,October,2021,6436,1200000,0.06436,MA
Massachusetts,September,2020,0,1200000,0.00000,MA
Massachusetts,September,2021,8613,1200000,0.08613,MA
Massachusetts,April,2019,6211,3150607,1.77820,MA
Massachusetts,April,2020,0,3197001,0.00000,MA
Massachusetts,April,2021,108,2883194,0.03582,MA
Massachusetts,April,2022,2174,2897836,0.72931,MA
Massachusetts,August,2019,7935,3148697,2.39640,MA
Massachusetts,August,2020,0,3194031,0.00000,MA
Massachusetts,August,2021,4600,2877847,1.27814,MA
Massachusetts,August,2022,3023,2325132,0.55423,MA
Massachusetts,December,2019,448,3185888,0.19104,MA
Massachusetts,December,2020,40,2877318,0.00953,MA
Massachusetts,December,2021,602,2889207,0.21071,MA
Massachusetts,February,2020,1188,3192252,0.43930,MA
Massachusetts,February,2021,67,2883339,0.01990,MA
Massachusetts,February,2022,559,2895109,0.26688,MA
Massachusetts,January,2020,1066,3188509,0.41180,MA
Massachusetts,January,2021,90,2880969,0.02689,MA
Massachusetts,January,2022,486,2893258,0.25122,MA
Massachusetts,July,2019,6821,3150104,2.47089,MA
Massachusetts,July,2020,0,3195160,0.00000,MA
Massachusetts,July,2021,2491,2878323,0.49609,MA
Massachusetts,July,2022,5434,2911340,1.32464,MA
Massachusetts,June,2019,6838,3150205,2.06180,MA
Massachusetts,June,2020,0,3197170,0.00000,MA
