,State,Month,Year,Number of Disconnections,Total Connections,Disconnection Rate,code
321,California,November,2020,0,39512223,0,CA
322,Colorado,November,2020,734,5758736,0.0001,CO
323,Connecticut,November,2020,0,3565287,0,CT
324,Florida,November,2020,103703,21477737,0.0048,FL
325,Georgia,November,2020,15897,10617423,0.0015,GA
326,Illinois,November,2020,11017,12671821,0.0009,IL
327,Indiana,November,2020,14185,6732219,0.0021,IN
328,Iowa,November,2020,637,3155070,0.0002,IA
329,Kentucky,November,2020,5,4467673,0,KY
330,Maine,November,2020,0,1344212,0,ME
331,Maryland,November,2020,0,6045680,0,MD
332,Massachusetts,November,2020,0,6892503,0,MA
333,Michigan,November,2020,2979,9986857,0.0003,MI
334,Minnesota,November,2020,0,5639632,0,MN
335,Missouri,November,2020,6559,6137428,0.0011,MO
336,New Hampshire,November,2020,143,1359711,0.0001,NH
337,New Mexico,November,2020,0,2096829,0,NM
338,New York,November,2020,0,19453561,0,NY
339,North Carolina,November,2020,16966,10488084,0.0016,NC
340,North Dakota,November,2020,322,762062,0.0004,ND
341,Ohio,November,2020,19327,11689100,0.0017,OH
342,Oregon,November,2020,0,4217737,0,OR
343,Pennsylvania,November,2020,0,12801989,0,PA
344,Rhode Island,November,2020,0,1059361,0,RI
345,South Carolina,November,2020,4744,5148714,0.0009,SC
346,South Dakota,November,2020,1,884659,0,SD
347,Utah,November,2020,202,3205958,0.0001,UT
348,Vermont,November,2020,250,623989,0.0004,VT
349,Washington,November,2020,0,7614893,0,WA
350,Washington D.C.,November,2020,6,705749,0,WA
351,Wisconsin,November,2020,0,5822434,0,WI
352,Arizona,December,2020,0,4903185,0,AZ
353,California,December,2020,0,39512223,0,CA
354,Colorado,December,2020,452,5758736,0.0001,CO
355,Connecticut,December,2020,0,3565287,0,CT
356,Florida,December,2020,120808,21477737,0.0056,FL
357,Georgia,December,2020,16343,10617423,0.0015,GA
358,Illinois,December,2020,8,12671821,0,IL
359,Indiana,December,2020,12945,6732219,0.0019,IN
360,Iowa,December,2020,354,3155070,0.0001,IA
361,Kentucky,December,2020,1182,4467673,0.0003,KY
362,Maine,December,2020,1,1344212,0,ME
363,Maryland,December,2020,0,6045680,0,MD
364,Massachusetts,December,2020,0,6892503,0,MA
365,Michigan,December,2020,2703,9986857,0.0003,MI
366,Minnesota,December,2020,0,5639632,0,MN
367,Missouri,December,2020,1178,6137428,0.0002,MO
368,New Hampshire,December,2020,38,1359711,0,NH
369,New Mexico,December,2020,0,2096829,0,NM
370,New York,December,2020,0,19453561,0,NY
371,North Carolina,December,2020,11878,10488084,0.0011,NC
372,North Dakota,December,2020,226,762062,0.0003,ND
373,Ohio,December,2020,22437,11689100,0.0019,OH
374,Oregon,December,2020,0,4217737,0,OR
375,Pennsylvania,December,2020,97,12801989,0,PA
376,Rhode Island,December,2020,0,1059361,0,RI
377,South Carolina,December,2020,10565,5148714,0.0021,SC
378,South Dakota,December,2020,1017,884659,0.0011,SD
379,Utah,December,2020,130,3205958,0,UT
380,Vermont,December,2020,37,623989,0.0001,VT
381,Washington,December,2020,0,7614893,0,WA
382,Washington D.C.,December,2020,0,705749,0,WA
383,Wisconsin,December,2020,0,5822434,0,WI
384,Arizona,January,2021,2,4903185,0,AZ
385,California,January,2021,0,39512223,0,CA
386,Colorado,January,2021,682,5758736,0.0001,CO
387,Connecticut,January,2021,0,3565287,0,CT
388,Florida,January,2021,94415,21477737,0.0044,FL
389,Georgia,January,2021,15233,10617423,0.0014,GA
390,Illinois,January,2021,13,12671821,0,IL
391,Indiana,January,2021,10033,6732219,0.0015,IN
392,Iowa,January,2021,360,3155070,0.0001,IA
393,Kentucky,January,2021,1772,4467673,0.0004,KY
394,Maine,January,2021,0,1344212,0,ME
395,Maryland,January,2021,490,6045680,0.0001,MD
396,Massachusetts,January,2021,0,6892503,0,MA
397,Michigan,January,2021,3377,9986857,0.0003,MI
398,Minnesota,January,2021,0,5639632,0,MN
399,Missouri,January,2021,839,6137428,0.0001,MO
400,New Hampshire,January,2021,99,1359711,0.0001,NH
401,New Mexico,January,2021,0,2096829,0,NM
402,New York,January,2021,0,19453561,0,NY
403,North Carolina,January,2021,16561,10488084,0.0016,NC
404,North Dakota,January,2021,347,762062,0.0005,ND
405,Ohio,January,2021,17859,11689100,0.0015,OH
406,Oregon,January,2021,0,4217737,0,OR
407,Pennsylvania,January,2021,1921,12801989,0.0002,PA
408,Rhode Island,January,2021,0,1059361,0,RI
409,South Carolina,January,2021,3285,5148714,0.0006,SC
410,South Dakota,January,2021,21,884659,0,SD
411,Utah,January,2021,201,3205958,0.0001,UT
412,Vermont,January,2021,0,623989,0,VT
413,Washington,January,2021,0,7614893,0,WA
414,Washington D.C.,January,2021,0,705749,0,WA
415,Wisconsin,January,2021,0,5822434,0,WI
416,Arizona,February,2021,6287,4903185,0.0013,AZ
