State,Month,Year,Number of Disconnections,Total Connections,Disconnection Rate
Illinois,March,2021,2,12671821,0.0000
Indiana,March,2021,16920,6732219,0.0025
Iowa,March,2021,2564,3155070,0.0008
Kentucky,March,2021,2048,4467673,0.0005
Maine,March,2021,0,1344212,0.0000
Maryland,March,2021,1252,6045680,0.0002
Massachusetts,March,2021,0,6892503,0.0000
Michigan,March,2021,6144,9986857,0.0006
Minnesota,March,2021,0,5639632,0.0000
Missouri,March,2021,6572,6137428,0.0011
New Hampshire,March,2021,51,1359711,0.0000
New Mexico,March,2021,0,2096829,0.0000
New York,March,2021,0,19453561,0.0000
North Carolina,March,2021,2,10488084,0.0000
North Dakota,March,2021,383,762062,0.0005
Ohio,March,2021,25292,11689100,0.0022
Oregon,March,2021,0,4217737,0.0000
Pennsylvania,March,2021,2084,12801989,0.0002
Rhode Island,March,2021,0,1059361,0.0000
South Carolina,March,2021,7401,5148714,0.0014
South Dakota,March,2021,166,884659,0.0002
Utah,March,2021,273,3205958,0.0001
Vermont,March,2021,0,623989,0.0000
Washington,March,2021,0,7614893,0.0000
Washington D.C.,March,2021,0,705749,0.0000
Wisconsin,March,2021,0,5822434,0.0000
Arizona,April,2021,7366,4903185,0.0015
California,April,2021,0,39512223,0.0000
Colorado,April,2021,1106,5758736,0.0002
Connecticut,April,2021,0,3565287,0.0000
Florida,April,2021,85568,21477737,0.0040
Georgia,April,2021,17099,10617423,0.0016
Illinois,April,2021,17242,12671821,0.0014
Indiana,April,2021,16024,6732219,0.0024
Iowa,April,2021,4957,3155070,0.0016
Kentucky,April,2021,1351,4467673,0.0003
Maine,April,2021,0,1344212,0.0000
Maryland,April,2021,5493,6045680,0.0009
Massachusetts,April,2021,0,6892503,0.0000
Michigan,April,2021,6925,9986857,0.0007
Minnesota,April,2021,0,5639632,0.0000
Missouri,April,2021,5281,6137428,0.0009
New Hampshire,April,2021,691,1359711,0.0005
New Mexico,April,2021,0,2096829,0.0000
New York,April,2021,0,19453561,0.0000
North Carolina,April,2021,0,10488084,0.0000
North Dakota,April,2021,665,762062,0.0009
Ohio,April,2021,24468,11689100,0.0021
Oregon,April,2021,0,4217737,0.0000
Pennsylvania,April,2021,8932,12801989,0.0007
Rhode Island,April,2021,0,1059361,0.0000
South Carolina,April,2021,3236,5148714,0.0006
South Dakota,April,2021,0,884659,0.0000
Utah,April,2021,225,3205958,0.0001
Vermont,April,2021,0,623989,0.0000
Washington,April,2021,0,7614893,0.0000
Washington D.C.,April,2021,1,705749,0.0000
Wisconsin,April,2021,0,5822434,0.0000
Arizona,May,2021,3029,4903185,0.0006
California,May,2021,0,39512223,0.0000
Colorado,May,2021,741,5758736,0.0001
Connecticut,May,2021,0,3565287,0.0000
Florida,May,2021,89196,21477737,0.0042
Georgia,May,2021,18387,10617423,0.0017
Illinois,May,2021,30185,12671821,0.0024
Indiana,May,2021,15799,6732219,0.0023
Iowa,May,2021,3335,3155070,0.0011
Kentucky,May,2021,1519,4467673,0.0003
Maine,May,2021,0,1344212,0.0000
Maryland,May,2021,5014,6045680,0.0008
Massachusetts,May,2021,0,6892503,0.0000
Michigan,May,2021,8251,9986857,0.0008
Minnesota,May,2021,0,5639632,0.0000
Missouri,May,2021,12789,6137428,0.0021
New Hampshire,May,2021,844,1359711,0.0006
New Mexico,May,2021,0,2096829,0.0000
New York,May,2021,0,19453561,0.0000
North Carolina,May,2021,392,10488084,0.0000
North Dakota,May,2021,844,762062,0.0011
Ohio,May,2021,28959,11689100,0.0025
Oregon,May,2021,0,4217737,0.0000
Pennsylvania,May,2021,25271,12801989,0.0020
Rhode Island,May,2021,0,1059361,0.0000
South Carolina,May,2021,3025,5148714,0.0006
South Dakota,May,2021,0,884659,0.0000
Utah,May,2021,193,3205958,0.0001
Vermont,May,2021,3,623989,0.0000
Washington,May,2021,0,7614893,0.0000
Washington D.C.,May,2021,0,705749,0.0000
Wisconsin,May,2021,0,5822434,0.0000
Arizona,June,2021,0,4903185,0.0000
California,June,2021,0,39512223,0.0000
Colorado,June,2021,1081,5758736,0.0002
Connecticut,June,2021,0,3565287,0.0000
Florida,June,2021,107398,21477737,0.0050
Georgia,June,2021,20838,10617423,0.0020
Illinois,June,2021,27657,12671821,0.0022
Indiana,June,2021,16856,6732219,0.0025
Iowa,June,2021,3740,3155070,0.0012
Kentucky,June,2021,8540,4467673,0.0019
Maine,June,2021,0,1344212,0.0000
Maryland,June,2021,6116,6045680,0.0010
Massachusetts,June,2021,0,6892503,0.0000
Michigan,June,2021,8555,9986857,0.0009
Minnesota,June,2021,0,5639632,0.0000
Missouri,June,2021,7368,6137428,0.0012
New Hampshire,June,2021,467,1359711,0.0003
New Mexico,June,2021,0,2096829,0.0000
New York,June,2021,0,19453561,0.0000
North Carolina,June,2021,4864,10488084,0.0005
North Dakota,June,2021,1041,762062,0.0014
Ohio,June,2021,0,11689100,0.0000
Oregon,June,2021,0,4217737,0.0000
Pennsylvania,June,2021,33403,12801989,0.0026
Rhode Island,June,2021,0,1059361,0.0000
South Carolina,June,2021,3158,5148714,0.0006
South Dakota,June,2021,818,884659,0.0009
Utah,June,2021,188,3205958,0.0001
Vermont,June,2021,2,623989,0.0000
Washington,June,2021,0,7614893,0.0000
Washington D.C.,June,2021,0,705749,0.0000
Wisconsin,June,2021,17218,5822434,0.0030
Arizona,July,2021,0,4903185,0.0000
California,July,2021,0,39512223,0.0000
Colorado,July,2021,989,5758736,0.0002
Connecticut,July,2021,0,3565287,0.0000
Florida,July,2021,107254,21477737,0.0050
Georgia,July,2021,19381,10617423,0.0018
Illinois,July,2021,27660,12671821,0.0022
Indiana,July,2021,14401,6732219,0.0021
Iowa,July,2021,2178,3155070,0.0007
Kentucky,July,2021,0,4467673,0.0000
Maine,July,2021,0,1344212,0.0000
Maryland,July,2021,4801,6045680,0.0008
Massachusetts,July,2021,2576,6892503,0.0004
Michigan,July,2021,7461,9986857,0.0007
