State,Month,Year,Number of Disconnections,Total Connections,Disconnection Rate
Ohio,April,2019,39647,7173679,10.29106
Ohio,April,2020,4,7249216,0.00048
Ohio,April,2021,57624,8612828,6.8289
Ohio,April,2022,45319,9222282,11.35046
Ohio,August,2014,59259,8794375,9.08883
Ohio,August,2015,60902,8832849,11.79809
Ohio,August,2016,49676,7044279,12.91578
Ohio,August,2017,43751,7040801,9.2541
Ohio,August,2018,47451,7085408,12.9507
Ohio,August,2019,47655,7147303,11.7201
Ohio,August,2020,7112,8842321,7.39159
Ohio,August,2021,47351,9155324,9.59583
Ohio,December,2014,24058,8886376,3.96177
Ohio,December,2015,30459,8917722,5.15456
Ohio,December,2016,13725,7125068,2.5132
Ohio,December,2017,11674,7125763,2.19329
Ohio,December,2018,21991,7167159,4.60766
Ohio,December,2019,25433,7227841,5.11407
Ohio,December,2020,48350,8882270,4.67819
Ohio,December,2021,28109,9212810,3.74368
Ohio,February,2015,5038,8907030,1.02365
Ohio,February,2016,28342,8942281,5.00774
Ohio,February,2017,28691,7135199,5.79586
Ohio,February,2018,26493,7145492,4.61567
Ohio,February,2019,29729,7183970,7.05756
Ohio,February,2020,29959,7238579,6.04755
Ohio,February,2021,22879,8856624,2.57411
Ohio,February,2022,28540,9207530,4.6862
Ohio,January,2015,12986,8907730,2.06412
Ohio,January,2016,19940,8928140,4.22788
Ohio,January,2017,25706,7139030,4.48676
Ohio,January,2018,17796,7151271,3.22137
Ohio,January,2019,16543,7180015,4.07696
Ohio,January,2020,30716,7237463,6.22829
Ohio,January,2021,40842,8892028,4.19722
Ohio,January,2022,12078,9220905,1.89911
Ohio,July,2014,67915,8806989,10.20195
Ohio,July,2015,62877,8842096,13.95259
Ohio,July,2016,45009,7042226,14.17219
Ohio,July,2017,43976,7051525,10.25782
Ohio,July,2018,44746,7091385,12.71067
Ohio,July,2019,44944,7157505,12.12206
Ohio,July,2020,378,8843549,2.46244
Ohio,July,2021,41988,9155855,7.65462
Ohio,June,2014,66026,8826442,13.82996
Ohio,June,2015,65418,8870002,17.9406
Ohio,June,2016,51414,7060840,18.38262
Ohio,June,2017,46668,7064623,9.96865
Ohio,June,2018,48561,7102882,14.04207
Ohio,June,2019,44389,7169124,12.83489
Ohio,June,2020,135,8848216,2.36869
Ohio,June,2021,50718,9168390,11.50295
Ohio,March,2015,36738,8924571,7.36785
Ohio,March,2016,42975,8950053,8.15907
Ohio,March,2017,30461,7147951,8.18946
Ohio,March,2018,30442,7143820,4.81559
Ohio,March,2019,29518,7182271,6.33962
Ohio,March,2020,14633,7244642,2.77801
Ohio,March,2021,60109,8896894,7.90695
Ohio,March,2022,41221,9233045,7.98329
Ohio,May,2015,60306,8862465,13.70936
Ohio,May,2016,61816,8912292,15.71013
Ohio,May,2017,49425,7115329,15.53338
Ohio,May,2018,50566,7117564,12.32032
Ohio,May,2019,47555,7156048,14.27298
Ohio,May,2020,4,7248699,0.1213
Ohio,May,2021,67102,8599811,9.45838
Ohio,May,2022,46758,9206216,13.09534
Ohio,November,2014,15171,8862038,2.76935
Ohio,November,2015,29340,8884541,5.0416
Ohio,November,2016,26907,7093919,4.12841
Ohio,November,2017,22126,7105245,3.66881
Ohio,November,2018,20776,7147252,4.66499
Ohio,November,2019,21902,7205988,4.74914
Ohio,November,2020,43501,8867809,3.36926
Ohio,November,2021,24811,9198032,3.00234
Ohio,October,2014,59804,8822512,8.06112
Ohio,October,2015,60625,8849161,10.22166
Ohio,October,2016,43387,7061720,9.09578
Ohio,October,2017,42221,7072200,7.53642
Ohio,October,2018,42596,7113458,9.43494
Ohio,October,2019,49682,7169500,9.59551
Ohio,October,2020,86602,8852916,7.65878
Ohio,October,2021,49559,9170798,7.64791
Ohio,September,2014,67010,8801401,11.18691
Ohio,September,2015,62475,8836423,11.84367
Ohio,September,2016,46265,7047146,11.69177
Ohio,September,2017,38236,7025915,8.68407
Ohio,September,2018,37311,7092288,10.69047
Ohio,September,2019,46842,7154619,11.44032
Ohio,September,2020,41441,8847905,5.6147
Ohio,September,2021,49102,9162689,8.42791
Oregon,April,2020,0,600000,0
Oregon,April,2021,0,600000,0
Oregon,August,2020,0,600000,0
Oregon,August,2021,415,600000,0.00415
Oregon,December,2020,0,600000,0
Oregon,December,2021,172,200000,0.00172
Oregon,February,2020,2204,600000,0.02204
Oregon,February,2021,0,600000,0
Oregon,January,2020,2147,600000,0.02147
Oregon,January,2021,0,600000,0
Oregon,July,2020,0,600000,0
Oregon,July,2021,0,600000,0
Oregon,June,2020,0,600000,0
Oregon,June,2021,0,600000,0
Oregon,March,2020,1103,600000,0.01103
Oregon,March,2021,0,600000,0
Oregon,May,2020,0,600000,0
Oregon,May,2021,0,600000,0
Oregon,November,2020,0,600000,0
Oregon,November,2021,574,200000,0.00574
Oregon,October,2020,0,600000,0
Oregon,October,2021,1313,600000,0.01313
Oregon,September,2020,0,600000,0
Oregon,September,2021,707,600000,0.00707
Pennsylvania,April,2020,0,900000,0
Pennsylvania,April,2021,15629,1400000,0.15629
