State,Year,Month,Number of Disconnections,Total Connections,Disconnection Rate,code
Maine,2002,July,2342.0,530438.0,0.004415219120802054,ME
Maine,2002,June,2408.0,530438.0,0.004539644595598354,ME
Maine,2002,March,170.0,530438.0,0.0003204898593238041,ME
Maine,2002,May,3380.0,530438.0,0.00637209249714387,ME
Maine,2002,November,1122.0,530438.0,0.002115233071537107,ME
Maine,2002,October,2159.0,530438.0,0.004070221213412312,ME
Maine,2002,September,2067.0,530438.0,0.0038967796424841357,ME
Maine,2003,April,597.0,537427.0,0.0011108485431509769,ME
Maine,2003,August,1954.0,537427.0,0.003635842635371874,ME
Maine,2003,December,64.0,537427.0,0.00011908594097430907,ME
Maine,2003,February,65.0,537427.0,0.00012094665880203265,ME
Maine,2003,January,106.0,537427.0,0.0001972360897386994,ME
Maine,2003,July,2676.0,537427.0,0.004979280906988298,ME
Maine,2003,June,2668.0,537427.0,0.004964395164366509,ME
Maine,2003,March,99.0,537427.0,0.00018421106494463435,ME
Maine,2003,May,2759.0,537427.0,0.005133720486689355,ME
Maine,2003,November,909.0,537427.0,0.0016913925054007335,ME
Maine,2003,October,2404.0,537427.0,0.004473165657847484,ME
Maine,2003,September,2744.0,537427.0,0.005105809719273501,ME
Maine,2004,April,697.0,545513.0,0.0012776964068683973,ME
Maine,2004,August,2568.0,545513.0,0.004707495513397481,ME
Maine,2004,December,36.0,545513.0,6.599292775790861e-05,ME
Maine,2004,February,78.0,545513.0,0.00014298467680880198,ME
Maine,2004,January,70.0,545513.0,0.00012831958175148897,ME
Maine,2004,July,2569.0,545513.0,0.004709328650279645,ME
Maine,2004,June,3474.0,545513.0,0.006368317528638181,ME
Maine,2004,March,3.0,545513.0,5.499410646492385e-06,ME
Maine,2004,May,3424.0,545513.0,0.006276660684529974,ME
Maine,2004,November,1099.0,545513.0,0.0020146174334983767,ME
Maine,2004,October,2229.0,545513.0,0.004086062110343841,ME
Maine,2004,September,2775.0,545513.0,0.005086954848005455,ME
Maine,2005,April,565.0,553552.0,0.001020680983900338,ME
Maine,2005,August,2698.0,553552.0,0.004873977512501084,ME
Maine,2005,December,30.0,553552.0,5.419545047258433e-05,ME
Maine,2005,February,81.0,553552.0,0.00014632771627597768,ME
Maine,2005,January,47.0,553552.0,8.490620574038212e-05,ME
Maine,2005,July,2449.0,553552.0,0.004424155273578634,ME
Maine,2005,June,3128.0,553552.0,0.005650778969274793,ME
Maine,2005,March,113.0,553552.0,0.00020413619678006764,ME
Maine,2005,May,3717.0,553552.0,0.006714816313553198,ME
Maine,2005,November,1000.0,553552.0,0.001806515015752811,ME
Maine,2005,October,2196.0,553552.0,0.003967106974593172,ME
Maine,2005,September,2661.0,553552.0,0.00480713645691823,ME
Maine,2006,April,683.0,556923.0,0.0012263813848593073,ME
Maine,2006,August,2541.0,556923.0,0.0045625696909626645,ME
Maine,2006,December,21.0,556923.0,3.770718752861706e-05,ME
Maine,2006,February,59.0,556923.0,0.00010593924115182888,ME
Maine,2006,January,59.0,556923.0,0.00010593924115182888,ME
Maine,2006,July,2597.0,556923.0,0.004663122191038977,ME
Maine,2006,June,2752.0,556923.0,0.004941437146607341,ME
Maine,2006,March,125.0,556923.0,0.0002244475448131968,ME
Maine,2006,May,3870.0,556923.0,0.006948895987416573,ME
Maine,2006,November,1219.0,556923.0,0.0021888124570182952,ME
Maine,2006,October,2792.0,556923.0,0.005013260360947564,ME
Maine,2006,September,2505.0,556923.0,0.004497928798056464,ME
Maine,2007,April,518.0,566381.0,0.0009145787023222883,ME
Maine,2007,August,3135.0,566381.0,0.005535143304595316,ME
Maine,2007,December,4.0,566381.0,7.062383801716512e-06,ME
Maine,2007,February,28.0,566381.0,4.943668661201559e-05,ME
Maine,2007,January,26.0,566381.0,4.590549471115733e-05,ME
